array_type,size,algorithm,threshold,time_ms
reversed,3400,hybrid,30,1112
almost_sorted,3400,hybrid,30,784
random,3400,hybrid,50,1335
reversed,3400,hybrid,50,1099
almost_sorted,3400,hybrid,50,786
random,3500,standard,0,5975
reversed,3500,standard,0,5624
almost_sorted,3500,standard,0,5509
random,3500,hybrid,5,2581
reversed,3500,hybrid,5,2243
almost_sorted,3500,hybrid,5,2191
random,3500,hybrid,10,1857
reversed,3500,hybrid,10,1566
almost_sorted,3500,hybrid,10,1451
random,3500,hybrid,20,1492
reversed,3500,hybrid,20,1153
almost_sorted,3500,hybrid,20,1048
random,3500,hybrid,30,1368
reversed,3500,hybrid,30,1118
almost_sorted,3500,hybrid,30,795
random,3500,hybrid,50,1353
reversed,3500,hybrid,50,1057
almost_sorted,3500,hybrid,50,748
random,3600,standard,0,6169
reversed,3600,standard,0,5678
almost_sorted,3600,standard,0,5586
random,3600,hybrid,5,3159
reversed,3600,hybrid,5,2198
almost_sorted,3600,hybrid,5,2139
random,3600,hybrid,10,1835
reversed,3600,hybrid,10,1501
almost_sorted,3600,hybrid,10,1444
random,3600,hybrid,20,1496
reversed,3600,hybrid,20,1162
almost_sorted,3600,hybrid,20,1044
random,3600,hybrid,30,1434
reversed,3600,hybrid,30,1119
almost_sorted,3600,hybrid,30,759
random,3600,hybrid,50,1391
reversed,3600,hybrid,50,1101
almost_sorted,3600,hybrid,50,768
random,3700,standard,0,6138
reversed,3700,standard,0,5750
almost_sorted,3700,standard,0,5689
random,3700,hybrid,5,2606
reversed,3700,hybrid,5,2238
almost_sorted,3700,hybrid,5,2196
random,3700,hybrid,10,1985
reversed,3700,hybrid,10,1544
almost_sorted,3700,hybrid,10,1482
random,3700,hybrid,20,1546
reversed,3700,hybrid,20,1182
almost_sorted,3700,hybrid,20,1064
random,3700,hybrid,30,1433
reversed,3700,hybrid,30,1202
almost_sorted,3700,hybrid,30,823
random,3700,hybrid,50,1428
reversed,3700,hybrid,50,1197
almost_sorted,3700,hybrid,50,856
random,3800,standard,0,6298
reversed,3800,standard,0,5848
almost_sorted,3800,standard,0,5874
random,3800,hybrid,5,2638
reversed,3800,hybrid,5,3390
almost_sorted,3800,hybrid,5,2192
random,3800,hybrid,10,1902
reversed,3800,hybrid,10,1532
almost_sorted,3800,hybrid,10,1481
random,3800,hybrid,20,1557
reversed,3800,hybrid,20,1215
almost_sorted,3800,hybrid,20,1059
random,3800,hybrid,30,1457
reversed,3800,hybrid,30,1225
almost_sorted,3800,hybrid,30,822
random,3800,hybrid,50,1451
reversed,3800,hybrid,50,1215
almost_sorted,3800,hybrid,50,816
random,3900,standard,0,6339
reversed,3900,standard,0,5946
almost_sorted,3900,standard,0,5876
random,3900,hybrid,5,2654
